Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 14 - Feature 631	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	1.942178	0.447404	0.818182	0.272727	65	120	101.707692	105	6611	Histogram-632.csv
Measurement 14 - Feature 632	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.033058	0.711675	0.820202	0.181818	0.227273	91	122	103.8125	104	1661	Histogram-633.csv
Measurement 14 - Feature 633	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.691509	0.517238	0.454545	0.590909	74	122	103.385965	106	5893	Histogram-634.csv
Measurement 14 - Feature 634	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.294786	0.634969	0.5	0.227273	64	106	96.146341	98	3942	Histogram-635.csv
Measurement 14 - Feature 635	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.8003	0.810753	0.272727	0.227273	87	120	102.7	104	2054	Histogram-636.csv
Measurement 14 - Feature 636	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	0.944462	0.756778	0.181818	0.363636	57	106	91.038462	91	2367	Histogram-637.csv
Measurement 14 - Feature 637	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.494094	0.604801	0.545455	0.454545	75	130	102.519231	105	5331	Histogram-638.csv
Measurement 14 - Feature 638	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.726881	0.496266	0.545455	0.590909	73	117	104.175439	105	5938	Histogram-639.csv
Measurement 14 - Feature 639	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.877896	0.463833	0.272727	0.772727	64	131	104.746032	106	6599	Histogram-640.csv
Measurement 14 - Feature 640	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	2.32102	0.395203	0.772727	0.727273	57	127	100.585366	105	8248	Histogram-641.csv
Measurement 14 - Feature 641	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	1.851269	0.560605	0.227273	0.772727	63	128	106.797297	107	7903	Histogram-642.csv
Measurement 14 - Feature 642	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	2.19474	0.398869	0.818182	0.545455	63	126	103.162162	105	7634	Histogram-643.csv
Measurement 14 - Feature 643	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.09737	0.442666	0.318182	0.863636	71	120	100.346667	104	7526	Histogram-644.csv
Measurement 14 - Feature 644	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.247934	3.214906	0.301446	0.227273	1.454545	56	124	99.841667	107	11981	Histogram-645.csv
Measurement 14 - Feature 645	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.359068	0.730946	0.545455	0.227273	81	129	106.346154	107	5530	Histogram-646.csv
Measurement 14 - Feature 646	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.171488	2.347647	0.391	0.863636	0.636364	63	133	106.277108	106	8821	Histogram-647.csv
Measurement 14 - Feature 647	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.252561	0.761245	0.454545	0.318182	67	128	107.130435	107	4928	Histogram-648.csv
Measurement 14 - Feature 648	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	1.771389	0.471641	0.681818	0.363636	84	121	105.421053	106	6009	Histogram-649.csv
Measurement 14 - Feature 649	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	2.055146	0.411864	0.409091	0.818182	82	118	105.029851	106	7037	Histogram-650.csv
Measurement 14 - Feature 650	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	1.806761	0.50903	0.454545	0.681818	40	125	96.734375	107	6191	Histogram-651.csv
Measurement 14 - Feature 651	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.123967	1.942178	0.412988	0.318182	0.727273	78	127	107.466667	107	6448	Histogram-652.csv
Measurement 14 - Feature 652	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.212621	0.600334	0.318182	0.454545	93	130	110.470588	108	3756	Histogram-653.csv
Measurement 14 - Feature 653	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.715852	0.388023	0.545455	0.545455	74	112	102.522727	104	4511	Histogram-654.csv
Measurement 14 - Feature 654	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.088843	1.696078	0.388098	0.227273	0.727273	102	133	112.093023	109	4820	Histogram-655.csv
