Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 10 - Feature 274	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.582645	7.131958	0.143945	1.318182	2.090909	80	132	105.411348	106	29726	Histogram-275.csv
Measurement 10 - Feature 275	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.543388	7.305031	0.127961	1.954545	1.909091	96	134	110.011407	108	28933	Histogram-276.csv
Measurement 10 - Feature 276	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.518595	6.821966	0.140029	0.772727	3.045455	83	133	109.394422	108	27458	Histogram-277.csv
Measurement 10 - Feature 277	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.709391	0.470931	0.272727	0.681818	95	131	109.54717	108	5806	Histogram-278.csv
Measurement 10 - Feature 278	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.199308	0.812298	0.363636	0.409091	106	132	112.822222	107	5077	Histogram-279.csv
Measurement 10 - Feature 279	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.123967	1.888925	0.436603	0.318182	0.772727	88	131	109.583333	108	6575	Histogram-280.csv
Measurement 10 - Feature 280	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.082645	1.31456	0.600985	0.454545	0.409091	106	126	110.325	109	4413	Histogram-281.csv
Measurement 10 - Feature 281	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.159091	2.232395	0.401156	0.636364	0.772727	89	134	109.012987	107	8394	Histogram-282.csv
Measurement 10 - Feature 282	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.045455	0.84024	0.809059	0.272727	0.227273	74	129	106.045455	107	2333	Histogram-283.csv
Measurement 10 - Feature 283	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.088843	1.123996	0.883696	0.318182	0.363636	76	130	109.348837	107	4702	Histogram-284.csv
Measurement 10 - Feature 284	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.396724	0.692065	0.5	0.318182	90	128	107.192308	106	5574	Histogram-285.csv
Measurement 10 - Feature 285	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.747047	0.493382	0.727273	0.272727	93	125	103.706897	104	6015	Histogram-286.csv
Measurement 10 - Feature 286	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.402893	5.243033	0.184176	1.227273	2	76	131	104.025641	105	20285	Histogram-287.csv
Measurement 10 - Feature 287	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.196281	2.68048	0.343291	0.318182	1.136364	69	133	107.421053	107	10205	Histogram-288.csv
Measurement 10 - Feature 288	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.285124	4.021666	0.221529	0.863636	0.727273	85	126	105.84058	107	14606	Histogram-289.csv
Measurement 10 - Feature 289	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.472035	0.563152	0.409091	0.5	88	116	102.702128	103	4827	Histogram-290.csv
Measurement 10 - Feature 290	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.202479	2.73791	0.339432	1.090909	0.590909	72	126	103.938776	105	10186	Histogram-291.csv
Measurement 10 - Feature 291	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.061983	1.048685	0.708265	0.409091	0.181818	94	127	103.4	104	3102	Histogram-292.csv
Measurement 10 - Feature 292	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.966521	0.639249	0.318182	0.318182	93	120	105.826087	105	2434	Histogram-293.csv
Measurement 10 - Feature 293	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.330579	4.26359	0.228525	0.272727	1.954545	77	131	106.8	107	17088	Histogram-294.csv
Measurement 10 - Feature 294	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	1.048685	0.661047	0.409091	0.181818	105	131	110.035714	108	3081	Histogram-295.csv
