Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 16 - Feature 136	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.826927	0.396728	0.818182	0.181818	91	106	101.27451	102	5165	Histogram-137.csv
Measurement 16 - Feature 137	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.268595	2.997324	0.375699	0.636364	1.136364	79	121	105.123077	106	13666	Histogram-138.csv
Measurement 16 - Feature 138	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.305785	2.935326	0.445978	0.409091	1.136364	95	129	105.114865	105	15557	Histogram-139.csv
Measurement 16 - Feature 139	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.239669	3.070351	0.319482	1.136364	0.818182	79	117	102.905172	104	11937	Histogram-140.csv
Measurement 16 - Feature 140	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.268595	2.635972	0.485765	0.590909	1	91	118	103.207692	104	13417	Histogram-141.csv
Measurement 16 - Feature 141	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.663223	5.943679	0.235917	1.136364	2.454545	85	108	102.208723	103	32809	Histogram-142.csv
Measurement 16 - Feature 142	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.076446	1.033087	0.900103	0.272727	0.363636	107	134	112.783784	108	4173	Histogram-143.csv
Measurement 16 - Feature 143	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.704823	0.410926	0.363636	0.681818	82	106	100.043478	101	4602	Histogram-144.csv
Measurement 16 - Feature 144	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.241736	3.094694	0.317187	0.954545	1.045455	73	107	99.128205	101	11598	Histogram-145.csv
Measurement 16 - Feature 145	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.150623	0.666772	0.318182	0.363636	93	121	103.735294	104	3527	Histogram-146.csv
Measurement 16 - Feature 146	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.429752	3.903739	0.354378	1.454545	1.136364	83	110	101.466346	103	21105	Histogram-147.csv
Measurement 16 - Feature 147	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.190563	0.622786	0.181818	0.5	96	127	108.058824	106	3674	Histogram-148.csv
Measurement 16 - Feature 148	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.472035	0.623062	0.454545	0.454545	89	129	103.826923	105	5399	Histogram-149.csv
Measurement 16 - Feature 149	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.345755	0.788489	0.454545	0.318182	94	127	106.727273	107	5870	Histogram-150.csv
Measurement 16 - Feature 150	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.917836	0.862964	0.272727	0.272727	97	124	106.071429	106	2970	Histogram-151.csv
Measurement 16 - Feature 151	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.264463	2.61809	0.484848	0.909091	0.772727	61	123	100.828125	103	12906	Histogram-152.csv
Measurement 16 - Feature 152	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.336777	3.992755	0.265465	0.727273	1.590909	74	132	109.558282	108	17858	Histogram-153.csv
Measurement 16 - Feature 153	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	1.875612	0.487105	0.363636	0.727273	92	123	107.424242	107	7090	Histogram-154.csv
Measurement 16 - Feature 154	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.347107	2.855446	0.534966	1.045455	0.681818	107	134	110.892857	108	18630	Histogram-155.csv
Measurement 16 - Feature 155	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.272727	4.457938	0.172453	1.318182	1.636364	67	124	104.212121	105	13756	Histogram-156.csv
Measurement 16 - Feature 156	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.061983	0.957776	0.849098	0.272727	0.272727	77	112	103.466667	107	3104	Histogram-157.csv
Measurement 16 - Feature 157	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.022727	0.596424	0.802874	0.181818	0.136364	73	110	100.636364	104	1107	Histogram-158.csv
Measurement 16 - Feature 158	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	2.055146	0.362686	0.818182	0.318182	62	117	101.423729	104	5984	Histogram-159.csv
Measurement 16 - Feature 159	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.179752	3.048293	0.243092	1.181818	0.636364	79	118	100.517241	103	8745	Histogram-160.csv
Measurement 16 - Feature 160	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.541322	5.130457	0.258436	0.454545	2.318182	96	132	108.572519	107	28446	Histogram-161.csv
Measurement 16 - Feature 161	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.21281	1.718136	0.905913	0.545455	0.5	96	133	109.436893	107	11272	Histogram-162.csv
