Sequence_ID	biosample_accession
2436f446105f80fedda15f0a89d729eb	SAMN12684770
245ba4defb8a2b9b61c3a41facd4e171	SAMN12684770
24a5038f2500bb1552a4303922f9d80e	SAMN12684770
24a58b04a64b5b25f4bf437c183b7421	SAMN12684770
24da8814bf0f522584ad27f316ab1b18	SAMN12684770
24f2c90999c9c3c187e04c2ff573ca23	SAMN12684770
25088764c99fb84530fc6abec77e1a82	SAMN12684770
251f41fb94a557c19071fb68dfe5aa31	SAMN12684819
2535469d9755dd9cad40fd43f1abe77e	SAMN12684819
25438f094bcc8e1bf3db51d0bc8cb7bd	SAMN12684770
254667710277672732583385888b3dfa	SAMN12684770
254a9230bb3b5c812b38e0c86b5c16cf	SAMN12684819
255780a6171d0bb983160b4540d405a4	SAMN12684819
2557f17dd0892eca1223f2bac3958074	SAMN12684770
2560579380244b934d4e4991972ec92f	SAMN12684770
256365493e82e8605ec6f109ddcf5fa5	SAMN12684770
257ceaf1750d79e23e1ed7c97aeb14eb	SAMN12684819
25acad3dd9a5fed15ac4ffc7a1472e02	SAMN12684770
25c66c674186dfe6535b6b3d9cfacf02	SAMN12684770
25d085ff56a9ff699beb593f9a5f0db7	SAMN12684819
25f3dffcb5839035735e0a8fc8b7671b	SAMN12684770
26082aad47829e019994ab84e6426e96	SAMN12684770
26471e789082dff945738fc730ade9af	SAMN12684770
26b9b95acad8d876996f6121ec8242e0	SAMN12684770
26c730bf03c1e85df02512f0a70ec7c9	SAMN12684819
26fca3940b0b813d57fd3c0881fff663	SAMN12684819
270bb995bfa0c0ffa00ded051e34b2e7	SAMN12684770
2720931c247fe01e8f12333378c99288	SAMN12684770
27279d806f8382f9135fc90884e13d02	SAMN12684770
27355c5147be7170f1fff592e8b9f3b2	SAMN12684770
273ecdb4984b649dfe3b582a2e70b91e	SAMN12684770
274753486a98c3ccecebc7ff8dd32129	SAMN12684770
276686a01476d5ecd46aa830772989a7	SAMN12684770
2776dd6b3a8a2afe6faa0adda405353f	SAMN12684819
278715b3ea0507cf1fd71275974323c1	SAMN12684770
27876d01ead38a60f66ab39cf071f850	SAMN12684770
27a6444b42dfa1ed3c1c942f124fa0c5	SAMN12684770
27c28e7b91be931e7b68f8782c04abbb	SAMN12684770
27de932f0e1ac5600bf410d141968243	SAMN12684819
27e101ce5b1ac721170ffde3974749c2	SAMN12684770
27ee7d78d073c7371a1ca4587673ad6a	SAMN12684819
27f6fb97173437f18e2ba8e13001cf85	SAMN12684819
27fe56abc9b59c4741a5b1e8bb16a601	SAMN12684819
283d3bf93d4fef29fa303191dc06032e	SAMN12684770
284040eebfd890bc599ae8a630b1a5bc	SAMN12684770
284361fbffa0caad022810322b92baae	SAMN12684770
286a8a3e7ecb55606c955ec1f7bff9aa	SAMN12684770
288d8247a533da476ffa474a8c0dffe5	SAMN12684819
28a79ea48a9d97578e1879a41867507b	SAMN12684819
28b9ee1ed97974230ea6f61ca7fa3a35	SAMN12684770
28d97d1b8c7e97ec428f0947443128a7	SAMN12684770
28ef729b8bcc408a8bee7e2ec90d72d7	SAMN12684770
